Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,78,0,17000,15019.922084615384,957.5363000003563,22966.22440000101,0.0,1.3259313221149762,0.0,17000,17000,17000,18000,18000,21000,22000,23000,23000,23000,23000
SSE,chat_total,78,0,20000,18531.18930128216,4462.268499999482,26523.97589999964,0.0,1.3259313221149762,0.0,20000,21000,21000,21000,22000,24000,26000,27000,27000,27000,27000
SSE,chat_ttft,78,0,18000,15645.733920512967,1583.7907999994059,23594.793500000378,0.0,1.3259313221149762,0.0,18000,18000,18000,18000,19000,21000,23000,24000,24000,24000,24000
,Aggregated,234,0,17000,16398.948435470174,957.5363000003563,26523.97589999964,0.0,3.9777939663449287,0.0,17000,18000,20000,20000,21000,22000,24000,25000,27000,27000,27000
