Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,67,0,1300,1463.6200492537112,669.1259999988688,5749.718600000051,0.0,1.1479489739395852,0.0,1300,1400,1600,1800,2500,3700,5100,5700,5700,5700,5700
SSE,chat_total,67,0,4800,4983.109334328616,4191.811500000767,9273.609399999259,0.0,1.1479489739395852,0.0,4800,4900,5100,5300,6000,7200,8600,9300,9300,9300,9300
SSE,chat_ttft,67,0,1900,2084.4221955226685,1291.5066999994451,6370.842500000435,0.0,1.1479489739395852,0.0,1900,2000,2200,2400,3100,4300,5700,6400,6400,6400,6400
,Aggregated,201,0,2000,2843.717193034996,669.1259999988688,9273.609399999259,0.0,3.4438469218187553,0.0,2000,4300,4400,4700,5100,5700,6500,7900,9300,9300,9300
