Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,18,0,780,832.5914555556059,632.3032000000239,1571.334400001433,0.0,0.3298181953274791,0.0,790,840,850,860,930,1600,1600,1600,1600,1600,1600
SSE,chat_total,18,0,4300,4367.449822222119,4178.983499999958,5117.969000000812,0.0,0.3298181953274791,0.0,4300,4400,4400,4400,4500,5100,5100,5100,5100,5100,5100
SSE,chat_ttft,18,0,1400,1449.9556722221314,1251.403099999152,2195.5085000008694,0.0,0.3298181953274791,0.0,1400,1500,1500,1500,1600,2200,2200,2200,2200,2200,2200
,Aggregated,54,0,1400,2216.665649999952,632.3032000000239,5117.969000000812,0.0,0.9894545859824373,0.0,1400,2200,4300,4300,4400,4400,4500,5100,5100,5100,5100
