Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,78,0,6000,6044.8539782050475,849.4231999993644,11737.623899998653,0.0,1.3193792881926423,0.0,6000,6200,6400,6500,6800,9600,11000,12000,12000,12000,12000
SSE,chat_total,78,0,9500,9558.618715384651,4378.317999999126,15277.670300001773,0.0,1.3193792881926423,0.0,9500,9700,9900,10000,10000,13000,15000,15000,15000,15000,15000
SSE,chat_ttft,78,0,6600,6666.152217948758,1478.6284000001615,12354.77980000178,0.0,1.3193792881926423,0.0,6600,6800,7000,7100,7400,10000,12000,12000,12000,12000,12000
,Aggregated,234,0,6700,7423.208303846155,849.4231999993644,15277.670300001773,0.0,3.958137864577927,0.0,6700,8800,9300,9500,10000,11000,12000,14000,15000,15000,15000
