Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,36,0,820,1021.9304222222389,656.496600000537,2743.8223999997717,0.0,0.6143099981860568,0.0,830,940,1200,1200,1500,2100,2700,2700,2700,2700,2700
SSE,chat_total,36,0,4300,4552.915233333452,4190.7329999994545,6288.924399999814,0.0,0.6143099981860568,0.0,4300,4500,4700,4700,5000,5700,6300,6300,6300,6300,6300
SSE,chat_ttft,36,0,1400,1639.5921027778463,1272.2813000000315,3365.3966000001674,0.0,0.6143099981860568,0.0,1400,1600,1800,1800,2100,2800,3400,3400,3400,3400,3400
,Aggregated,108,0,1500,2404.8125861111794,656.496600000537,6288.924399999814,0.0,1.8429299945581703,0.0,1500,3400,4300,4300,4600,5000,5100,5700,6300,6300,6300
